PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Joakim Noah,LAC,35,6-11,232,Florida,USA,2007,1,9
Joe Chealey,CHA,24,6-4,190,College of Charleston,USA,2018,,
Joe Harris,BKN,28,6-6,220,Virginia,USA,2014,2,33
Joe Ingles,UTA,32,6-7,220,None,Australia,Undrafted,Undrafted,Undrafted
Joel Embiid,PHI,26,7-0,280,Kansas,Cameroon,2014,1,3
John Collins,ATL,22,6-9,235,Wake Forest,USA,2017,1,19
John Henson,DET,29,6-9,219,North Carolina,USA,2012,1,14
John Konchar,MEM,24,6-5,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted
Johnathan Motley,LAC,25,6-8,230,Baylor,USA,Undrafted,Undrafted,Undrafted
Johnathan Williams,WAS,25,6-9,228,Gonzaga,USA,Undrafted,Undrafted,Undrafted
Jonah Bolden,PHX,24,6-8,225,UCLA,Australia,2017,2,36
Jonas Valanciunas,MEM,28,6-11,265,None,Lithuania,2011,1,5
Jonathan Isaac,ORL,22,6-11,230,Florida State,USA,2017,1,6
Jordan Bell,CLE,25,6-8,216,Oregon,USA,2017,2,38
Jordan Bone,DET,22,6-3,180,Tennessee,USA,2019,2,57
Jordan Clarkson,UTA,28,6-4,194,Missouri,USA,2014,2,46
Jordan McLaughlin,MIN,24,5-11,185,Southern California,USA,Undrafted,Undrafted,Undrafted
Jordan McRae,DET,29,6-5,179,Tennessee,USA,2014,2,58
Jordan Poole,GSW,21,6-4,194,Michigan,USA,2019,1,28
Josh Gray,NOP,26,6-0,180,Louisiana State,USA,Undrafted,Undrafted,Undrafted
Josh Hart,NOP,25,6-5,215,Villanova,USA,2017,1,30
Josh Jackson,MEM,23,6-8,207,Kansas,USA,2017,1,4
Josh Magette,ORL,30,6-1,160,Alabama Huntsville,USA,2012,0,0
Josh Okogie,MIN,21,6-4,213,Georgia Tech,Nigeria,2018,1,20
Josh Reaves,DAL,23,6-4,214,Penn State,USA,Undrafted,Undrafted,Undrafted
Josh Richardson,PHI,26,6-5,200,Tennessee,USA,2015,2,40
Jrue Holiday,NOP,30,6-3,205,UCLA,USA,2009,1,17
Juan Toscano-Anderson,GSW,27,6-6,209,Marquette,USA,Undrafted,Undrafted,Undrafted
Juancho Hernangomez,MIN,24,6-9,214,None,Spain,2016,1,15
Julius Randle,NYK,25,6-8,250,Kentucky,USA,2014,1,7
Justin Anderson,BKN,26,6-5,231,Virginia,USA,2015,1,21
Justin Holiday,IND,31,6-6,180,Washington,USA,Undrafted,Undrafted,Undrafted
Justin Jackson,DAL,25,6-7,220,North Carolina,USA,2017,1,15
Justin James,SAC,23,6-7,190,Wyoming,USA,2019,2,40
Justin Patton,DET,23,6-11,241,Creighton,USA,2017,1,16
Justin Robinson,WAS,22,6-1,195,Virginia Tech,USA,2019,,
Justin Wright-Foreman,UTA,22,6-0,190,Hofstra,USA,2019,2,53
Justise Winslow,MEM,24,6-6,222,Duke,USA,2015,1,10
Jusuf Nurkic,POR,25,7-0,290,None,Bosnia and He...,2014,1,16
Juwan Morgan,UTA,23,6-7,232,Indiana,USA,Undrafted,Undrafted,Undrafted
KZ Okpala,MIA,21,6-8,215,Stanford,USA,2019,2,32
Kadeem Allen,NYK,27,6-1,200,Arizona,USA,2017,2,53
Karl-Anthony Towns,MIN,24,6-11,248,Kentucky,USA,2015,1,1
Kawhi Leonard,LAC,29,6-7,225,San Diego State,USA,2011,1,15
Keita Bates-Diop,DEN,24,6-8,229,Ohio State,USA,2018,2,48
