PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Robert Woodard II,SAS,22,12,0,12,3.5,0.6,0.9,0.3,0.1,0.1,0.1,1.3
Robin Lopez,ORL,34,36,9,27,17.0,7.1,3.5,1.5,1.2,0.1,0.5,-1.8
Rodney Hood,LAC,29,52,30,22,13.6,3.1,1.5,0.7,0.2,0.3,0.1,0.2
Rodney McGruder,DET,30,51,13,38,14.8,5.4,2.2,0.9,0.5,0.4,0.1,-1.1
Romeo Langford,SAS,22,48,24,24,16.1,4.5,2.3,0.4,0.3,0.5,0.3,0.1
Royce O'Neale,UTA,28,77,46,31,31.2,7.4,4.8,2.5,1.0,1.1,0.4,3.0
Rudy Gay,UTA,35,55,34,21,18.9,8.1,4.4,1.0,0.9,0.5,0.3,3.3
Rudy Gobert,UTA,29,66,42,24,32.1,15.6,14.7,1.1,1.8,0.7,2.1,6.3
Rui Hachimura,WAS,24,42,16,26,22.5,11.3,3.8,1.1,0.8,0.5,0.2,-3.0
Russell Westbrook,LAL,33,78,31,47,34.3,18.5,7.4,7.1,3.8,1.0,0.3,-2.7
Ryan Arcidiacono,NYK,28,10,8,2,7.6,1.6,0.8,0.4,0.3,0.1,0.0,-1.2
Saben Lee,DET,22,37,8,29,16.3,5.6,2.4,2.9,1.0,1.0,0.3,-2.2
Saddiq Bey,DET,23,82,23,59,33.0,16.1,5.4,2.8,1.2,0.9,0.2,-6.1
Sam Dekker,TOR,27,1,1,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Sam Hauser,BOS,24,26,20,6,6.1,2.5,1.1,0.4,0.1,0.0,0.1,0.0
Sam Merrill,MEM,25,6,2,4,9.6,4.2,1.2,0.7,0.3,0.0,0.0,-1.5
Sandro Mamukelashvili,MIL,22,41,22,19,9.9,3.8,2.0,0.5,0.4,0.2,0.2,-3.5
Santi Aldama,MEM,21,32,20,12,11.2,4.1,2.7,0.7,0.5,0.2,0.3,0.5
Scottie Barnes,TOR,20,74,43,31,35.4,15.3,7.5,3.5,1.8,1.1,0.7,0.9
Scottie Lewis,CHA,22,2,1,1,3.3,0.5,0.0,0.5,0.0,0.5,0.0,-2.0
Scotty Hopson,OKC,32,1,0,1,17.7,4.0,1.0,1.0,2.0,0.0,0.0,-6.0
Sekou Doumbouya,LAL,21,2,0,2,8.2,7.0,3.0,0.0,1.0,1.5,1.0,12.0
Semi Ojeleye,LAC,27,30,14,16,13.5,3.3,2.5,0.3,0.3,0.2,0.2,-4.8
Serge Ibaka,MIL,32,54,30,24,16.3,6.8,4.6,0.9,0.8,0.2,0.6,-1.0
Seth Curry,BKN,31,64,38,26,33.3,15.0,3.1,3.6,1.7,0.8,0.2,3.0
Shai Gilgeous-Alexander,OKC,23,56,16,40,34.7,24.5,5.0,5.9,2.8,1.3,0.8,-4.7
Shake Milton,PHI,25,55,34,21,21.4,8.2,2.6,2.5,0.8,0.5,0.3,-0.5
